Qcount	Qval	Angsum
1	-6.81385	27.2564
2	-6.80112	27.2564
3	-6.7884	27.2564
4	-6.77568	27.2564
5	-6.76295	27.2564
6	-6.75023	27.2564
7	-6.73751	27.2564
8	-6.72478	27.2564
9	-6.71206	27.2564
10	-6.69933	27.2564
11	-6.68661	27.2564
12	-6.67389	27.2564
13	-6.66116	27.2564
14	-6.64844	27.2564
15	-6.63572	27.2564
16	-6.62299	27.2564
17	-6.61027	27.2564
18	-6.59754	27.2564
19	-6.58482	27.2564
20	-6.5721	27.2564
21	-6.55937	27.2564
22	-6.54665	27.2564
23	-6.53393	27.2564
24	-6.5212	27.2563
25	-6.50848	27.2563
26	-6.49575	27.2564
27	-6.48303	27.2563
28	-6.47031	27.2563
29	-6.45758	27.2563
30	-6.44486	27.2563
31	-6.43214	27.2563
32	-6.41941	27.2563
33	-6.40669	27.2563
34	-6.39396	27.2563
35	-6.38124	27.2563
36	-6.36852	27.2563
37	-6.35579	27.2562
38	-6.34307	27.2562
39	-6.33035	27.2562
40	-6.31762	27.2562
41	-6.3049	27.2562
42	-6.29218	27.2562
43	-6.27945	27.2562
44	-6.26673	27.2562
45	-6.254	27.2562
46	-6.24128	27.2561
47	-6.22856	27.2562
48	-6.21583	27.2562
49	-6.20311	27.2562
50	-6.19039	27.2561
51	-6.17766	27.2561
52	-6.16494	27.256
53	-6.15221	27.2561
54	-6.13949	27.256
55	-6.12677	27.256
56	-6.11404	27.256
57	-6.10132	27.2561
58	-6.0886	27.256
59	-6.07587	27.256
60	-6.06315	27.256
61	-6.05042	27.2559
62	-6.0377	27.256
63	-6.02498	27.2559
64	-6.01225	27.2559
65	-5.99953	27.2559
66	-5.98681	27.2559
67	-5.97408	27.2559
68	-5.96136	27.2558
69	-5.94863	27.2558
70	-5.93591	27.2559
71	-5.92319	27.2557
72	-5.91046	27.2558
73	-5.89774	27.2557
74	-5.88502	27.2558
75	-5.87229	27.2557
76	-5.85957	27.2558
77	-5.84684	27.2556
78	-5.83412	27.2556
79	-5.8214	27.2556
80	-5.80867	27.2556
81	-5.79595	27.2556
82	-5.78323	27.2554
83	-5.7705	27.2554
84	-5.75778	27.2555
85	-5.74505	27.2555
86	-5.73233	27.2554
87	-5.71961	27.2554
88	-5.70688	27.2553
89	-5.69416	27.2555
90	-5.68144	27.2553
91	-5.66871	27.2553
92	-5.65599	27.2551
93	-5.64327	27.255
94	-5.63054	27.2552
95	-5.61782	27.2552
96	-5.60509	27.2551
97	-5.59237	27.255
98	-5.57965	27.2549
99	-5.56692	27.2551
100	-5.5542	27.2549
101	-5.54148	27.2548
102	-5.52875	27.2547
103	-5.51603	27.2548
104	-5.5033	27.2545
105	-5.49058	27.2548
106	-5.47786	27.2546
107	-5.46513	27.2545
108	-5.45241	27.2546
109	-5.43969	27.2546
110	-5.42696	27.2545
111	-5.41424	27.2543
112	-5.40151	27.2544
113	-5.38879	27.2542
114	-5.37607	27.2544
115	-5.36334	27.254
116	-5.35062	27.2542
117	-5.3379	27.2541
118	-5.32517	27.2539
119	-5.31245	27.2542
120	-5.29972	27.254
121	-5.287	27.2537
122	-5.27428	27.2533
123	-5.26155	27.2537
124	-5.24883	27.2536
125	-5.23611	27.2532
126	-5.22338	27.2535
127	-5.21066	27.2535
128	-5.19793	27.2532
129	-5.18521	27.253
130	-5.17249	27.2528
131	-5.15976	27.2529
132	-5.14704	27.2531
133	-5.13432	27.2523
134	-5.12159	27.2521
135	-5.10887	27.2524
136	-5.09614	27.2525
137	-5.08342	27.2526
138	-5.0707	27.2518
139	-5.05797	27.2516
140	-5.04525	27.252
141	-5.03253	27.252
142	-5.0198	27.2515
143	-5.00708	27.2516
144	-4.99436	27.2513
145	-4.98163	27.2515
